timedelta_ms,Xacc,Yacc,Zacc
11603,9.203311,-2.767697,3.418920
11623,10.754754,-4.587290,-10.266336
11643,5.698200,-3.457227,2.767697
11663,5.353435,-2.509123,4.098873
11683,6.263232,-3.208230,1.264138
11703,6.368577,-3.505111,1.733402
11723,6.100426,-3.734955,2.930503
11743,6.550536,-4.079720,3.821146
11763,5.908890,-1.063026,8.724471
11783,8.379706,-4.797980,3.045424
11803,5.880159,-5.343858,4.041412
11823,7.067683,-5.104438,8.025364
11843,7.891289,-5.631162,8.944737
11863,7.508216,-6.742072,6.531382
11883,6.847417,-7.077260,5.343858
11903,7.019799,-6.272809,5.181053
11923,6.828263,-5.276821,4.951209
11943,6.904878,-5.765238,3.371036
11963,9.940725,-7.671022,2.106898
11983,12.200851,-2.738967,0.995988
12003,12.765883,0.756568,3.974375
12023,15.064317,0.172383,6.742072
12043,-0.517148,-10.132261,0.373495
12064,-14.288596,-4.616021,-4.175488
12084,1.647211,-4.941632,-1.877054
12104,6.167464,-2.442086,-0.229843
12124,8.944737,0.162806,2.700660
12144,8.111555,-3.936068,3.974375
12164,5.813122,-6.885724,1.886631
12184,12.258312,-7.029376,-0.287304
12204,6.512228,-5.104438,0.469264
12224,8.465898,-2.518700,2.652776
12244,7.766790,-3.246537,1.857901
12264,7.680599,-4.328717,-0.143652
12284,7.699753,-4.778827,-0.459687
12304,8.025364,-3.897760,1.063026
12324,8.188169,-3.648763,1.762132
12344,7.958326,-3.916914,1.398214
12364,7.297527,-4.299986,0.909797
12384,7.469909,-4.386178,0.833182
12404,7.316680,-4.386178,0.986411
12424,7.623138,-4.568137,1.446098
12444,8.532935,-4.242526,1.551443
12464,9.126697,-3.878607,0.689530
12484,9.050082,-4.060566,-0.354342
12504,8.983045,-4.041412,-0.593762
12524,8.801085,-4.472369,-0.191536
12544,8.954314,-4.999093,0.545878
12564,8.552089,-5.535394,1.168370
12584,7.508216,-5.631162,1.723825
12604,7.402872,-5.937620,2.499547
12624,8.111555,-6.598420,1.771709
12644,8.848969,-9.241618,2.518700
12664,10.419566,-6.617573,3.955221
12684,9.346964,-5.238513,3.811569
12704,8.169016,-3.572149,3.457227
12724,7.900866,-2.317587,2.375048
12744,8.791509,-2.413355,0.842759
12764,10.965444,-3.284845,0.134075
12784,11.128249,-3.418920,0.009577
12804,10.582372,-3.926491,-0.019154
12824,9.864111,-4.491522,0.967257
12844,8.446744,-4.778827,2.173935
12864,8.121132,-4.568137,3.495534
12884,7.163452,-4.098873,4.261679
12904,6.387730,-4.347870,3.581726
12924,6.521805,-3.505111,2.528277
12944,7.038953,-3.045424,1.561020
12964,6.818686,-3.064578,1.426944
12984,6.330269,-1.637634,3.543418
13004,7.163452,-2.729390,2.489970
13024,7.144298,-3.371036,2.786851
13044,6.665458,-3.840300,2.116474
13064,6.560112,-3.897760,2.193089
